seq,ship_code,ship_id,voyage_no,start_port,dest_port,passage_plan_create_dt,origin_latitude,origin_longitude,latitude,longitude,course,distance,sub_ttl,dtg,total_distance,safety_speed,depth,squat,ukc,eta,type,file_name,create_dt
167703,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,35-22.60 N,129-25.30 E,35.38,129.42,178.5,1.6,9.1,146.6,157.3,7,55,0.3,45.1,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167704,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-55.90 N,129-18.70 E,34.9416667,129.3194444,191.5,27.2,27.2,119.4,157.3,17,72,1.72,60.7,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167705,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-21.70 N,128-47.30 E,34.3694444,128.7916667,217.2,42.9,70.1,76.5,157.3,17,100,1.72,88.7,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167706,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-21.70 N,128-05.20 E,34.3694444,128.0888889,270,34.8,104.9,41.7,157.3,17,57,1.72,45.7,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167707,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-34.10 N,127-57.90 E,34.5694444,127.975,334,13.8,118.7,27.9,157.3,17,27.5,1.72,16.2,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167708,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-41.03 N,127-56.13 E,34.6841667,127.9369444,348.1,7.1,125.8,20.8,157.3,14,24,1.17,13.2,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167709,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-43.60 N,127-50.40 E,34.7333333,127.8444444,298.5,5.4,131.2,15.4,157.3,14,22,1.17,11.2,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
167710,HGCN,GLOVIS CHAMPION,0045E,KRUSN,KRKAN,20191118,34-44.51 N,127-49.50 E,34.75,127.83,320.8,1.2,132.4,14.2,157.3,7,26,0.3,16.1,2.02E+11,RWP,HGCN19110185.VO6,2019-12-09 17:53
169570,SMSN,GLOVIS SUN,0026E,KRUSN,KRKAN,20191126,35-22.59 N,129-25.88 E,35.38,129.42,0,0,0,137.8,146.8,10,70,0.47,60.23,2.02E+11,RWP,SMSN19110170.VO6,2019-12-09 17:53
169571,SMSN,GLOVIS SUN,0026E,KRUSN,KRKAN,20191126,35-12.98 N,129-24.99 E,35.2272222,129.4275,184.3,9.6,9.6,128.2,146.8,15,108,1.06,97.64,2.02E+11,RWP,SMSN19110170.VO6,2019-12-09 17:53
169572,SMSN,GLOVIS SUN,0026E,KRUSN,KRKAN,20191126,34-31.66 N,128-51.74 E,34.535,128.8705556,213.6,49.6,59.2,78.6,146.8,15,97,1.06,86.64,2.02E+11,RWP,SMSN19110170.VO6,2019-12-09 17:53
169573,SMSN,GLOVIS SUN,0026E,KRUSN,KRKAN,20191126,34-26.77 N,128-44.22 E,34.4547222,128.7394444,231.9,7.9,67.1,70.7,146.8,15,91,1.06,80.64,2.02E+11,RWP,SMSN19110170.VO6,2019-12-09 17:53
169574,SMSN,GLOVIS SUN,0026E,KRUSN,KRKAN,20191126,34-26.82 N,128-05.25 E,34.4561111,128.0902778,270.1,32.3,99.4,38.4,146.8,15,43,1.06,32.64,2.02E+11,RWP,SMSN19110170.VO6,2019-12-09 17:53
169575,SMSN,GLOVIS SUN,0026E,KRUSN,KRKAN,20191126,34-35.66 N,127-57.55 E,34.6016667,127.9652778,324.2,10.9,110.3,27.5,146.8,15,26,1.06,15.64,2.02E+11,RWP,SMSN19110170.VO6,2019-12-09 17:53
169576,SMSN,GLOVIS SUN,0026E,KRUSN,KRKAN,20191126,34-40.72 N,127-55.98 E,34.6866667,127.9438889,345.6,5.2,115.5,22.3,146.8,15,22.5,1.06,12.14,2.02E+11,RWP,SMSN19110170.VO6,2019-12-09 17:53
169577,SMSN,GLOVIS SUN,0026E,KRUSN,KRKAN,20191126,34-43.50 N,127-50.50 E,34.7305556,127.8472222,301.6,5.3,120.8,17,146.8,15,26,1.06,15.64,2.02E+11,RWP,SMSN19110170.VO6,2019-12-09 17:53
169578,SMSN,GLOVIS SUN,0026E,KRUSN,KRKAN,20191126,34-44.48 N,127-49.62 E,34.75,127.83,323.4,1.2,122,15.8,146.8,10,26.5,0.47,16.73,2.02E+11,RWP,SMSN19110170.VO6,2019-12-09 17:53
